tmax,wspd,sol,presMax,dir,aptoplay
26.30,3.60,9.20,1019.20,22.00,1
25.80,3.30,4.00,1016.50,22.00,1
26.50,2.80,5.30,1012.70,19.00,1
27.00,6.40,5.30,1008.40,22.00,1
25.40,6.10,3.90,1019.80,23.00,1
23.60,10.30,0.20,1008.90,20.00,-1
23.00,5.60,7.80,1008.80,30.00,-1
23.50,1.70,9.00,1008.60,20.00,-1
23.50,10.30,0.30,1003.80,18.00,-1
21.40,3.60,4.20,1013.30,23.00,-1
22.50,3.60,9.40,1018.00,22.00,-1
24.50,5.30,3.80,1017.20,23.00,-1
23.00,6.70,2.00,1016.00,22.00,-1
23.00,3.10,7.20,1013.60,30.00,-1
23.60,3.10,8.70,1012.60,22.00,-1
23.00,4.70,5.20,1009.60,21.00,-1
20.30,3.30,7.40,1013.40,19.00,-1
17.40,2.80,0.00,1015.30,99.00,-1
22.90,3.30,9.80,1018.60,24.00,-1
24.00,9.70,4.00,1016.50,25.00,-1
20.00,5.30,7.40,1015.10,99.00,-1
23.40,6.90,4.90,1013.60,25.00,-1
19.90,3.10,8.90,1015.20,28.00,-1
19.00,3.30,9.50,1021.40,30.00,-1
18.50,3.30,9.50,1024.20,35.00,-1
20.10,3.10,6.20,1023.30,36.00,-1
20.80,3.30,3.70,1020.80,20.00,-1
20.40,2.50,6.40,1020.80,26.00,-1
21.00,3.30,7.40,1021.30,99.00,-1
22.60,3.10,8.70,1021.80,99.00,-1
26.20,3.10,8.50,1022.30,2.00,1
27.40,3.10,9.50,1022.80,1.00,1
27.00,3.60,9.40,1021.10,2.00,1
25.00,1.90,7.10,1022.40,27.00,1
27.20,4.20,9.40,1021.50,3.00,1
26.00,3.10,9.40,1022.00,12.00,1
24.60,2.20,8.80,1020.10,99.00,-1
22.20,2.20,9.10,1019.40,23.00,-1
19.50,2.20,5.40,1019.80,28.00,-1
19.40,5.80,9.30,1018.90,2.00,-1
20.90,5.30,9.30,1020.30,12.00,-1
19.50,3.10,9.40,1019.20,2.00,-1
19.00,2.50,9.20,1015.00,20.00,-1
20.50,1.90,7.20,1017.10,14.00,-1
18.40,2.20,6.60,1018.60,24.00,-1
20.00,0.80,4.40,1017.00,15.00,-1
19.00,4.40,0.00,1012.90,23.00,-1
20.30,5.30,2.30,1008.00,19.00,-1
18.90,3.30,4.20,1013.20,20.00,-1
16.50,2.20,8.60,1019.90,28.00,-1
17.20,1.70,8.00,1020.60,5.00,-1
17.80,3.30,0.00,1017.50,24.00,-1
19.00,3.30,0.50,1017.60,23.00,-1
16.70,2.20,0.00,1018.40,12.00,-1
20.50,1.10,5.40,1020.80,24.00,-1
18.50,3.30,6.90,1025.00,24.00,-1
19.50,1.70,7.80,1026.80,30.00,-1
20.50,3.60,9.50,1024.50,28.00,-1
21.50,1.70,7.40,1022.10,2.00,-1
21.70,1.40,5.90,1019.10,15.00,-1
17.00,4.40,2.60,1022.10,30.00,-1
15.50,5.00,8.30,1026.30,3.00,-1
18.40,3.90,8.30,1029.30,34.00,-1
19.40,3.60,8.80,1030.80,11.00,-1
18.40,2.80,8.70,1032.00,10.00,-1
17.20,2.50,8.70,1033.30,2.00,-1
16.50,1.70,8.80,1030.70,35.00,-1
13.90,1.90,3.00,1027.80,30.00,-1
16.90,4.40,8.60,1026.30,2.00,-1
18.20,3.90,8.70,1024.40,2.00,-1
18.20,0.60,7.90,1023.40,26.00,-1
18.00,1.40,3.60,1023.50,14.00,-1
16.90,2.50,8.70,1023.30,35.00,-1
14.80,2.50,8.70,1022.30,34.00,-1
16.90,1.70,6.20,1023.20,6.00,-1
17.00,3.10,4.60,1024.80,2.00,-1
17.80,1.70,2.00,1022.00,19.00,-1
19.80,1.70,7.20,1019.10,3.00,-1
20.30,1.70,7.00,1019.70,21.00,-1
18.00,1.40,7.30,1021.20,2.00,-1
22.00,2.50,8.30,1022.10,3.00,-1
20.50,1.40,7.90,1020.70,21.00,-1
20.00,3.30,3.20,1018.20,17.00,-1
14.70,6.70,8.10,1018.70,32.00,-1
15.20,1.10,7.10,1021.20,31.00,-1
15.50,2.50,8.30,1020.60,3.00,-1
15.00,1.10,4.60,1019.30,3.00,-1
14.20,3.30,0.00,1017.70,16.00,-1
16.00,2.20,6.10,1021.10,28.00,-1
15.40,1.90,5.40,1019.70,4.00,-1
18.50,6.90,9.00,1019.20,32.00,-1
20.00,5.00,0.50,1021.60,12.00,-1
20.00,3.90,8.40,1019.30,16.00,-1
19.50,2.20,1.60,1017.90,19.00,-1
19.00,6.10,0.00,1015.50,19.00,-1
20.50,12.80,6.20,1012.10,22.00,-1
20.40,5.80,2.90,1013.90,22.00,-1
18.20,9.20,1.60,1015.70,24.00,-1
15.20,2.20,9.10,1026.40,31.00,-1
17.60,3.10,9.00,1031.70,1.00,-1
18.00,2.80,9.10,1036.00,1.00,-1
21.40,2.80,9.10,1033.90,35.00,-1
23.90,1.90,9.30,1033.60,10.00,-1
23.50,2.80,8.80,1030.00,3.00,-1
22.00,1.90,8.00,1028.10,27.00,-1
21.80,1.70,9.00,1025.40,20.00,-1
