tmax,wspd,sol,aptoplay
17.60,3.60,3.00,-1
18.00,4.20,7.80,-1
14.20,2.20,8.80,-1
14.90,3.10,8.70,-1
15.00,2.80,0.00,-1
14.80,4.20,4.00,-1
19.00,1.90,8.30,-1
16.20,3.10,6.50,-1
18.10,4.20,4.60,-1
18.20,8.60,9.00,-1
20.00,2.80,3.50,-1
21.00,2.20,6.50,-1
21.00,3.10,2.60,-1
14.60,2.80,4.60,-1
17.50,4.70,8.40,-1
18.50,2.50,8.50,-1
20.20,5.00,8.50,-1
18.10,3.10,8.40,-1
18.90,2.20,6.50,-1
19.30,5.60,8.40,-1
19.40,6.10,8.00,-1
18.40,3.30,7.50,-1
17.70,3.10,5.10,-1
20.10,2.50,7.40,-1
16.60,1.90,4.80,-1
17.10,2.50,8.40,-1
18.40,2.20,8.60,-1
18.30,1.90,7.20,-1
18.60,2.50,8.20,-1
